-0.05436,0.81139,0.05132
0.05086,0.81109,0.05187
-0.05153,0.70244,0.04179
0.04791,0.70509,0.04305
-0.03161,0.62422,0.06370
0.03056,0.62561,0.06385
0.09498
0.09498
0.07049
0.07049
0,0.7333,0.04904
0.07049
0.07049
0.0603
0.0603
-0.06836,1.16557,0.12099
0.07120,1.16541,0.11984
-0.15823,1.15121,0.15823
0.17055,1.16619,-0.17055
-0.04044,0.98339,-0.0525
0.03641,0.983,0.15665
-0.07494,1.08907,0.14139
0.06852,1.0899,0.14226
0,1.02625,0.18473
0,1.14522,0.13953
-0.06745,1.16223,-0.11429
0.05626,1.16543,-0.11566
0,1.09662,-0.14618
-0.04526,0.6835,-0.06755
0.04993,0.68608,-0.06597
0,0.75021,-0.06852
0,0.5803,0.00407
