-0.11,1.33244,0.12418
0.118,1.33592,0.12159
-0.09283,1.15399,0.10147
0.09419,1.15288,0.10104
-0.07214,1.00868,0.11471
0.07389,1.00651,0.11434
0.106265
0.106265
0.099135
0.099135
0,1.269,0.1533
0.06
0.04375
0.06
0.04375
-0.0523,1.7263,0.03981
0.04775,1.7225,0.04119
-0.08565,1.6673,-0.0339
0.08111,1.66553,-0.03867
-0.03844,1.5607,0.0525
0.03221,1.56202,0.05919
-0.03931,1.6399,0.06186
0.03476,1.63911,0.06275
0,1.6027,0.08294
0,1.7105,0.06952
-0.04612,1.7177,-0.09678
0.04189,1.71858,-0.09633
0,1.6043,-0.09534
-0.093,1.057,-0.0834
0.0905,1.060,-0.0825
0,1.1965,-0.113
0,0.9263,-0.0448
